Period Start,Period end,Time open,Time close,Price open,Price close,Price low,Price high,Volume traded,Trades count
2019-08-09T06:00:00.0000000Z,2019-08-09T07:00:00.0000000Z,2019-08-09T06:00:01.0140000Z,2019-08-09T06:59:59.2370000Z,11833.2,11836.55,11778.55,11851.97,227.74529274,451
2019-08-09T07:00:00.0000000Z,2019-08-09T08:00:00.0000000Z,2019-08-09T07:00:03.6740000Z,2019-08-09T07:59:54.5820000Z,11845.54,11842.58,11779.65,11860.0,231.71611086,807
2019-08-09T08:00:00.0000000Z,2019-08-09T09:00:00.0000000Z,2019-08-09T08:00:03.2350000Z,2019-08-09T08:59:54.9850000Z,11835.24,11816.47,11778.55,11972.1,481.29405497,1095
2019-08-09T09:00:00.0000000Z,2019-08-09T10:00:00.0000000Z,2019-08-09T09:00:27.1730000Z,2019-08-09T09:59:57.5650000Z,11817.76,11745.81,11679.83,11836.56,339.81665691,817
2019-08-09T10:00:00.0000000Z,2019-08-09T11:00:00.0000000Z,2019-08-09T10:00:05.2980000Z,2019-08-09T10:59:55.0190000Z,11727.75,11692.25,11653.0,11790.19,397.75117134,777
2019-08-09T11:00:00.0000000Z,2019-08-09T12:00:00.0000000Z,2019-08-09T11:00:03.2480000Z,2019-08-09T11:59:53.0820000Z,11676.17,11697.58,11672.07,11749.99,306.58532127,655
2019-08-09T12:00:00.0000000Z,2019-08-09T13:00:00.0000000Z,2019-08-09T12:00:05.9350000Z,2019-08-09T12:59:55.7450000Z,11680.88,11740.67,11651.0,11762.77,209.98386698,559
2019-08-09T13:00:00.0000000Z,2019-08-09T14:00:00.0000000Z,2019-08-09T13:00:06.6690000Z,2019-08-09T13:59:52.8200000Z,11740.78,11801.03,11740.78,11872.19,682.84109263,914
2019-08-09T14:00:00.0000000Z,2019-08-09T15:00:00.0000000Z,2019-08-09T14:00:04.3700000Z,2019-08-09T14:59:59.5870000Z,11809.91,11765.71,11650.0,11828.96,285.02702853,727
2019-08-09T15:00:00.0000000Z,2019-08-09T16:00:00.0000000Z,2019-08-09T15:00:19.6430000Z,2019-08-09T15:59:28.7260000Z,11756.06,11725.21,11687.97,11764.54,236.99643183,558
2019-08-09T16:00:00.0000000Z,2019-08-09T17:00:00.0000000Z,2019-08-09T16:00:00.6490000Z,2019-08-09T16:59:58.5280000Z,11709.7,11764.68,11652.55,11842.98,392.85267292,719
2019-08-09T17:00:00.0000000Z,2019-08-09T18:00:00.0000000Z,2019-08-09T17:00:02.9130000Z,2019-08-09T17:59:57.7820000Z,11764.64,11768.97,11715.82,11792.83,543.61766641,685
2019-08-09T18:00:00.0000000Z,2019-08-09T19:00:00.0000000Z,2019-08-09T18:00:04.5710000Z,2019-08-09T18:59:27.8630000Z,11771.01,11810.05,11754.79,11830.42,196.92921293,589
2019-08-09T19:00:00.0000000Z,2019-08-09T20:00:00.0000000Z,2019-08-09T19:00:05.3410000Z,2019-08-09T19:59:48.1170000Z,11820.0,11809.04,11778.76,11882.75,655.84026951,875
2019-08-09T20:00:00.0000000Z,2019-08-09T21:00:00.0000000Z,2019-08-09T20:00:04.5270000Z,2019-08-09T20:59:58.8780000Z,11809.01,11865.38,11793.58,11879.27,157.72838107,501
2019-08-09T21:00:00.0000000Z,2019-08-09T22:00:00.0000000Z,2019-08-09T21:00:04.9630000Z,2019-08-09T21:59:49.3990000Z,11865.01,11915.36,11850.59,11915.36,344.96295316,647
2019-08-09T22:00:00.0000000Z,2019-08-09T23:00:00.0000000Z,2019-08-09T22:00:00.5020000Z,2019-08-09T22:59:48.1110000Z,11915.36,11818.54,11816.88,11948.99,171.49598313,597
2019-08-09T23:00:00.0000000Z,2019-08-10T00:00:00.0000000Z,2019-08-09T23:00:00.6780000Z,2019-08-09T23:59:55.0780000Z,11828.14,11859.32,11828.14,11887.67,70.32350515,378
2019-08-10T00:00:00.0000000Z,2019-08-10T01:00:00.0000000Z,2019-08-10T00:00:07.7990000Z,2019-08-10T00:59:37.1800000Z,11859.32,11917.44,11859.32,11976.68,635.75554447,722
2019-08-10T01:00:00.0000000Z,2019-08-10T02:00:00.0000000Z,2019-08-10T01:00:13.3010000Z,2019-08-10T01:59:54.4790000Z,11917.45,11892.39,11863.97,11920.42,45.63601055,309
2019-08-10T02:00:00.0000000Z,2019-08-10T03:00:00.0000000Z,2019-08-10T02:00:04.5110000Z,2019-08-10T02:59:53.3540000Z,11892.39,11782.96,11737.35,11901.71,252.93498462,535
2019-08-10T03:00:00.0000000Z,2019-08-10T04:00:00.0000000Z,2019-08-10T03:00:01.0230000Z,2019-08-10T03:59:52.1190000Z,11781.78,11831.62,11759.05,11833.94,69.86448958,305
2019-08-10T04:00:00.0000000Z,2019-08-10T05:00:00.0000000Z,2019-08-10T04:00:02.1410000Z,2019-08-10T04:59:51.7320000Z,11833.09,11795.9,11784.6,11833.09,81.02376961,267
2019-08-10T05:00:00.0000000Z,2019-08-10T06:00:00.0000000Z,2019-08-10T05:00:01.0630000Z,2019-08-10T05:59:39.8370000Z,11793.0,11840.87,11781.89,11877.99,95.52275433,335
2019-08-10T06:00:00.0000000Z,2019-08-10T07:00:00.0000000Z,2019-08-10T06:00:11.5050000Z,2019-08-10T06:59:48.9430000Z,11840.87,11800.0,11789.43,11876.63,577.08396981,451
2019-08-10T07:00:00.0000000Z,2019-08-10T08:00:00.0000000Z,2019-08-10T07:00:03.6250000Z,2019-08-10T07:59:47.9250000Z,11799.21,11819.35,11784.83,11853.0,242.27905328,354
